product,RetailPrice,Unnamed: 0,energy_100g,fat_100g,carbohydrates_100g,sugars_100g,proteins_100g,salt_100g,g_sum,other_carbs,reconstructed_energy,boxcox_carbohydrates_100g,transformed_carbohydrates_100g,boxcox_fat_100g,transformed_fat_100g,boxcox_proteins_100g,transformed_proteins_100g,boxcox_sugars_100g,transformed_sugars_100g,boxcox_other_carbs,transformed_other_carbs,boxcox_salt_100g,transformed_salt_100g,boxcox_energy_100g,transformed_energy_100g,boxcox_reconstructed_energy,transformed_reconstructed_energy,boxcox_g_sum,transformed_g_sum,cluster,category,certainty,alternative_cluster,alternative_category,anomaly
Figs,7.3233,138232,1017.0,0.0,64.86,56.76,2.7,0.0,68.0,8.100000000000001,1148.52,2.101167067571252,1.144055948080067,-2.174981237325089,-1.172781757941142,-1.3481937297860775,-0.420884834930532,1.0847417244009037,1.5860315506478977,-0.701355881966308,-0.0593218622408843,-4.552555808837864,-1.2322116542642032,0.6206536899742083,-0.0279696204739133,0.7676444905325674,0.1379285042070757,2.913810874943365,0.4210766117658234,7,gummy bears & fruit snacks,1.0,6,strange cluster 6,0
Grapefruit,1.4444,330044,150.0,0.0,9.0,9.0,0.0,0.0299999999999999,9.0,0.0,153.0,-0.5587290845029204,-0.7997593272350666,-2.174981237325089,-1.172781757941142,-2.0567176527571847,-1.3584102713598358,-0.6475539099117043,0.1870904649237826,-1.9763648948769852,-1.1649084814431685,-4.415927503642516,-1.0973510562080588,-0.545857836169222,-1.3600262793628468,-0.5414619501409873,-1.3487388312426267,-0.4266522410404338,-1.2643924534260058,19,sweet drinks,0.9999,12,strange cluster 12,0
Kiwi,2.6064,307811,331.0,0.28,15.8,12.3,1.02,0.0069999999999999,17.0,3.5,296.3,-0.2021642821657129,-0.5391867071790871,-2.0578188048452346,-1.0645269709820764,-1.7225284883076832,-0.9162080646416306,-0.376197463961248,0.4062283958848579,-1.202578409436382,-0.4939422562949024,-4.518934562731512,-1.199025402331907,-0.2635139604441923,-1.0376136573466357,-0.3162046713741738,-1.0929287397098042,-0.0497465894978007,-1.0742203742518917,19,sweet drinks,1.0,2,ice cream,0
Mangoes,1.4698,170691,297.0,0.0,17.14,15.0,0.71,0.0,18.0,2.140000000000001,303.45000000000005,-0.1339308666951401,-0.4893226720079408,-2.174981237325089,-1.172781757941142,-1.811696536216726,-1.0341960539263388,-0.1978613676871324,0.5502463609503349,-1.4206254801125506,-0.6830153697041135,-4.552555808837864,-1.2322116542642032,-0.3141308766757257,-1.0954138580369348,-0.3054956358491591,-1.0807671821660048,0.0,-1.0491201606629008,19,sweet drinks,1.0,2,ice cream,0
Nectarines,2.3721,119143,1192.0,0.0,65.0,40.0,5.0,0.03048,70.0,25.0,1190.0,2.107387533862204,1.1486017787082687,-2.174981237325089,-1.172781757941142,-0.996594627037228,0.0443543638681356,0.7355465951736013,1.3040338341295747,0.2729658288150926,0.7855325939477004,-4.413888742391145,-1.0953386726008665,0.8192113668725826,0.1987663094833496,0.8139481142671526,0.1905125285311354,3.042648696533566,0.4860832156938643,7,gummy bears & fruit snacks,0.9993,16,grains & flours,0
Oranges,1.4624,161440,188.0,0.0,13.64,9.09,0.65,0.0,14.0,4.550000000000001,242.93,-0.313386528254843,-0.6204663844831508,-2.174981237325089,-1.172781757941142,-1.8300088173325435,-1.0584270344035118,-0.6391035932073341,0.1939146437711853,-1.0642124042334573,-0.3739622386198868,-4.552555808837864,-1.2322116542642032,-0.4836657567143092,-1.289008229638167,-0.3975996970625903,-1.185363794797302,-0.1957650001399752,-1.1478956418841706,19,sweet drinks,0.9939,18,tomato sauce,0
Papaya,1.3375,65849,234.0,0.0,13.8,13.2,0.0,0.0149,14.0,0.6000000000000014,234.6,-0.3050912811808666,-0.6144043327890144,-2.174981237325089,-1.172781757941142,-2.0567176527571847,-1.3584102713598358,-0.3132297665085716,0.4570788958198466,-1.7708847256052669,-0.9867323875035504,-4.482323385477045,-1.1628879032022974,-0.4106479160477478,-1.205628084052169,-0.4105505846093196,-1.2000712783773986,-0.1957650001399752,-1.1478956418841706,19,sweet drinks,0.9999,12,strange cluster 12,0
Peaches,2.1785,119142,1192.0,0.0,65.0,40.0,0.0,0.0127,65.0,25.0,1105.0,2.107387533862204,1.1486017787082687,-2.174981237325089,-1.172781757941142,-2.0567176527571847,-1.3584102713598358,0.7355465951736013,1.3040338341295747,0.2729658288150926,0.7855325939477004,-4.492382590778558,-1.1728169617600532,0.8192113668725826,0.1987663094833496,0.7186094233315277,0.0822425565756063,2.7219361279442165,0.3242640024868464,12,strange cluster 12,0.9999,7,gummy bears & fruit snacks,0
Pears,1.8472,119161,1205.0,0.0,67.5,35.0,2.5,0.0127,70.0,32.5,1190.0,2.2182453532994426,1.2296151380614886,-2.174981237325089,-1.172781757941142,-1.3857345237621714,-0.4705591622401199,0.6042479354864289,1.198001650073543,0.5578634002367315,1.032573155714347,-4.492382590778558,-1.1728169617600532,0.8336574253370528,0.2152624759943784,0.8139481142671526,0.1905125285311354,3.042648696533566,0.4860832156938643,7,gummy bears & fruit snacks,0.9999,16,grains & flours,0
Pineapple,0.617,48890,238.0,0.0,12.86,10.0,0.71,0.0,14.0,2.859999999999999,230.69,-0.3539655968313601,-0.6501210058846616,-2.174981237325089,-1.172781757941142,-1.811696536216726,-1.0341960539263388,-0.5574057835915779,0.2598909241596651,-1.2984199036312094,-0.5770483931717385,-4.552555808837864,-1.2322116542642032,-0.4044057016302613,-1.1985000076511447,-0.4166539544526312,-1.207002479920912,-0.1957650001399752,-1.1478956418841706,19,sweet drinks,1.0,18,tomato sauce,0
Pomegranate,2.4672,301613,222.0,13.0,0.0,0.0,0.0,0.0,13.0,0.0,481.0,-1.093501186750432,-1.1905633743594268,-0.2856229328637065,0.5729320891486782,-2.0567176527571847,-1.3584102713598358,-2.5559505131365374,-1.354063575545146,-1.9763648948769852,-1.1649084814431685,-4.552555808837864,-1.2322116542642032,-0.4294740136936721,-1.227125881689072,-0.0518966460449735,-0.7927712463649833,-0.2432786387740196,-1.171869194446148,6,strange cluster 6,1.0,4,creams & dips,1
Raspberries,7.7338,138799,1494.0,0.0,71.43,0.0,0.0,0.0,71.0,71.43,1214.3100000000002,2.391693804571329,1.3563688644425491,-2.174981237325089,-1.172781757941142,-2.0567176527571847,-1.3584102713598358,-2.5559505131365374,-1.354063575545146,1.5706082951336091,1.910745147539986,-4.552555808837864,-1.2322116542642032,1.1453889333167406,0.5712332672669328,0.840895298523011,0.2211146991192787,3.107337788595491,0.5187228407219077,12,strange cluster 12,1.0,6,strange cluster 6,0
Strawberries,2.9682,161867,151.0,0.0,9.29,4.29,0.71,0.0,10.0,4.999999999999999,170.0,-0.5430826643454268,-0.78832514004606,-2.174981237325089,-1.172781757941142,-1.811696536216726,-1.0341960539263388,-1.2336156059608374,-0.2861923680596426,-1.010515660213504,-0.327400684088076,-4.552555808837864,-1.2322116542642032,-0.5441974849556852,-1.3581302999057057,-0.5135364989243706,-1.3170257062731416,-0.3818931076096162,-1.241808718128507,18,tomato sauce,1.0,19,sweet drinks,0
Watermelon,0.382,119856,146.0,0.0,8.9,8.9,0.01,0.01,9.0,0.0,151.47,-0.5641357703053832,-0.8037104583510167,-2.174981237325089,-1.172781757941142,-2.0527549195804418,-1.3531667460101204,-0.6570267496254732,0.1794405324228968,-1.9763648948769852,-1.1649084814431685,-4.504870428187562,-1.1851432306030891,-0.5525126834749301,-1.3676255473244456,-0.543993642897525,-1.3516139106155485,-0.4266522410404338,-1.2643924534260058,19,sweet drinks,1.0,18,tomato sauce,0
